adaptive_covered,adaptive_mean_radius_m,coverage_difference,fixed_covered,fixed_radius_m,mean_radius_reduction,trial_id
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_neg_x|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_pos_y|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_neg_y|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_fixed_017|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_independent_fixed_019|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_piecewise_3101|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_common_piecewise_3102|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_independent_piecewise_3201|0.005N
True,0.023364452091248763,0,True,0.14392941455961325,0.8376672887697214,holdout|instances_dense|3|22|holdout_independent_piecewise_3202|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_pos_x|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_neg_x|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_pos_y|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_neg_y|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_fixed_017|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_independent_fixed_019|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_piecewise_3101|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_common_piecewise_3102|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_independent_piecewise_3201|0.005N
True,0.018430779691984377,0,True,0.14392941455961325,0.8719457051334656,holdout|instances_dense|3|23|holdout_independent_piecewise_3202|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_pos_x|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_neg_x|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_pos_y|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_neg_y|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_fixed_017|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_independent_fixed_019|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_piecewise_3101|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_common_piecewise_3102|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_independent_piecewise_3201|0.005N
True,0.01912316537506375,0,True,0.14392941455961325,0.8671351131832525,holdout|instances_dense|3|24|holdout_independent_piecewise_3202|0.005N
True,0.017378706088900204,0,True,0.14392941455961325,0.8792553548412981,holdout|instances_empty|3|4|holdout_common_pos_x|0.005N
True,0.017378706088900204,0,True,0.14392941455961325,0.8792553548412981,holdout|instances_empty|3|4|holdout_common_neg_x|0.005N
True,0.017378706088900204,0,True,0.14392941455961325,0.8792553548412981,holdout|instances_empty|3|4|holdout_common_pos_y|0.005N
True,0.017378706088900204,0,True,0.14392941455961325,0.8792553548412981,holdout|instances_empty|3|4|holdout_common_neg_y|0.005N
True,0.017378706088900204,0,True,0.14392941455961325,0.8792553548412981,holdout|instances_empty|3|4|holdout_common_fixed_017|0.005N
